timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, preprocesswhisker1_1, preprocesswhisker1_2, preprocesswhisker1_3, preprocesswhisker2_1, preprocesswhisker2_2, preprocesswhisker2_3, motor1, motor2, motor3, motor4, roll, pitch, laserFront
111273, 0.015790212899446487, 0.007798119448125362, 0.0028634234331548214, 0.0030689635314047337, 0.004803960211575031, 0.004786754958331585, 116674.796875, 151396.796875, 90410.8515625, 114222.3125, 137865.71875, 98141.25, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.1592882126569748, 2.7876148223876953, 0.0
111293, 0.015564321540296078, 0.007758389692753553, 0.002983423415571451, 0.0021285368129611015, 0.0037235449999570847, 0.0045310198329389095, 116679.9296875, 151392.171875, 90407.3203125, 114221.6328125, 137852.59375, 98141.7734375, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.23666127026081085, 2.773815393447876, 0.0
111313, 0.015326371416449547, 0.00774803850799799, 0.0030997719150036573, 0.0004731779044959694, 0.003493238240480423, 0.004911166615784168, 116682.109375, 151392.609375, 90415.1328125, 114226.6328125, 137863.4375, 98143.28125, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.15724483132362366, 2.7483749389648438, 0.0
111333, 0.01638360321521759, 0.007162529043853283, 0.0031417033169418573, 0.006737675052136183, 0.0003366749151609838, 0.0050909267738461494, 116674.796875, 151401.421875, 90415.1328125, 114229.5859375, 137861.6875, 98140.5, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.1632121205329895, 2.7764201164245605, 0.0
111353, 0.016372159123420715, 0.0071520558558404446, 0.003242575330659747, 0.00660945288836956, 0.0003768011520151049, 0.004620822612196207, 116678.453125, 151399.546875, 90412.390625, 114225.953125, 137863.4375, 98141.25, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.19500888884067535, 2.7702949047088623, 0.0
111373, 0.015553575940430164, 0.007523392792791128, 0.0024212724529206753, 0.0016478445613756776, 0.0031949810218065977, 4.444973455974832e-05, 116685.0703125, 151401.0, 90411.2265625, 114223.7890625, 137859.40625, 98148.6171875, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.20334109663963318, 2.7532567977905273, 0.0
111393, 0.016399933025240898, 0.007327340543270111, 0.002420173492282629, 0.006362773943692446, 0.001894986373372376, -0.0005625715130008757, 116686.46875, 151394.921875, 90410.0625, 114229.5859375, 137866.234375, 98138.703125, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.16535228490829468, 2.783721446990967, 0.0
111413, 0.016535600647330284, 0.0067422054708004, 0.003812055569142103, 0.0067300437949597836, -0.0019682091660797596, 0.006682267412543297, 116679.9296875, 151396.796875, 90413.1796875, 114226.6328125, 137865.1875, 98146.5859375, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.18762743473052979, 2.7406578063964844, 0.0
111433, 0.015509105287492275, 0.007540936581790447, 0.003952231723815203, 0.0009893837850540876, 0.003255243878811598, 0.006105063483119011, 116685.765625, 151399.109375, 90416.2890625, 114224.4765625, 137862.921875, 98141.25, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.1793106496334076, 2.791107177734375, 0.0
111453, 0.016701040789484978, 0.007389126345515251, 0.0032577402889728546, 0.007456222083419561, 0.0024133857805281878, 0.0015340412501245737, 116680.6328125, 151401.421875, 90413.96875, 114228.90625, 137856.609375, 98143.28125, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.18831896781921387, 2.733883857727051, 0.0
111473, 0.01668640412390232, 0.006949543487280607, 0.0032912360038608313, 0.007554606534540653, 0.00017805423703975976, 0.001194429467432201, 116692.3046875, 151397.234375, 90412.015625, 114228.109375, 137863.4375, 98145.3125, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.18021272122859955, 2.774714946746826, 0.0
111493, 0.01670829765498638, 0.007580695673823357, 0.0024322590325027704, 0.007589153479784727, 0.004399481229484081, -0.003457029117271304, 116682.109375, 151390.296875, 90415.1328125, 114223.109375, 137863.953125, 98141.25, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.2230699062347412, 2.729074478149414, 0.0
111513, 0.015578498132526875, 0.0077857328578829765, 0.002363152801990509, 0.0010531162843108177, 0.0057599726133048534, -0.0034755857195705175, 116679.234375, 151390.71875, 90419.03125, 114223.109375, 137859.9375, 98144.03125, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.18342868983745575, 2.7499101161956787, 0.0
111533, 0.015601763501763344, 0.007899073883891106, 0.0022919143084436655, 0.001403426518663764, 0.006373490672558546, -0.00343671184964478, 116677.0546875, 151396.375, 90413.96875, 114226.6328125, 137863.4375, 98144.03125, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.174220010638237, 2.780432939529419, 0.0
111553, 0.01657261699438095, 0.007003540638834238, 0.0017046559369191527, 0.007207149174064398, 0.0012464940082281828, -0.005995617248117924, 116690.125, 151401.0, 90419.03125, 114223.7890625, 137854.859375, 98142.0078125, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.25010359287261963, 2.7655296325683594, 0.0
