timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, preprocesswhisker1_1, preprocesswhisker1_2, preprocesswhisker1_3, preprocesswhisker2_1, preprocesswhisker2_2, preprocesswhisker2_3, roll, pitch
11652, 0.0027951260562986135, -0.0008456601062789559, 0.002201818162575364, 0.005932305008172989, -0.000622306892182678, 0.002059722086414695, 114673.9296875, 149597.140625, 91054.0078125, 111639.6796875, 137295.03125, 96626.0703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10773249715566635, 2.385700225830078
11672, 0.00282652978785336, -0.000850859098136425, 0.0029531263280659914, 0.005382691975682974, -0.00017985176236834377, 0.006233552470803261, 114673.21875, 149594.390625, 91059.1015625, 111633.9453125, 137295.546875, 96624.0546875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12133608758449554, 2.4011988639831543
11692, 0.003272305941209197, -0.0004160695825703442, 0.0030784360133111477, 0.007109906990081072, 0.0017827656120061874, 0.0062120272777974606, 114675.3828125, 149603.1875, 91054.796875, 111643.96875, 137297.3125, 96632.1171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12495177984237671, 2.39846134185791
11712, 0.002718484029173851, -0.000853596196975559, 0.0023146674502640963, 0.005105071235448122, -0.0003534046991262585, 0.0016431105323135853, 114681.8828125, 149605.5, 91057.140625, 111647.5625, 137293.28125, 96625.3125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11312373727560043, 2.40260910987854
11732, 0.0026130261830985546, -0.0012205924140289426, 0.0023560684639960527, 0.005014430731534958, -0.0019945097155869007, 0.002048471011221409, 114685.4609375, 149601.328125, 91062.234375, 111647.5625, 137296.78125, 96628.0859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15455400943756104, 2.4084885120391846
11752, 0.0026161514688283205, -0.000846179376821965, 0.002633024239912629, 0.005245909560471773, -0.0009911962551996112, 0.0038205008022487164, 114690.546875, 149612.4375, 91057.140625, 111650.3984375, 137299.578125, 96631.359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12829911708831787, 2.4111320972442627
11772, 0.0025323727168142796, -0.0008510677143931389, 0.002706799190491438, 0.004976938012987375, -0.0009943622862920165, 0.003448237432166934, 114693.421875, 149607.8125, 91059.890625, 111656.1328125, 137290.484375, 96638.1640625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1370585560798645, 2.4112305641174316
11792, 0.002803548937663436, -0.0008725699153728783, 0.0028633843176066875, 0.006150689907371998, -0.0008207421051338315, 0.004297726787626743, 114699.2109375, 149616.609375, 91059.890625, 111652.5390625, 137301.328125, 96637.40625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11506199836730957, 2.4002575874328613
11812, 0.0027208116371184587, -0.0005531473434530199, 0.002942311344668269, 0.005642123520374298, 0.0005879161763004959, 0.00391123304143548, 114700.671875, 149605.9375, 91066.9453125, 111654.6875, 137294.515625, 96640.6796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12775807082653046, 2.4113919734954834
11832, 0.0023701132740825415, -0.0008441171958111227, 0.0030227620154619217, 0.004103390965610743, -0.0007021920755505562, 0.00394659535959363, 114702.84375, 149616.609375, 91064.984375, 111653.234375, 137298.53125, 96642.1953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12779514491558075, 2.403688907623291
