timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, stateouterloop, yaw, laserFront, Position X, Position Y, Position Z, yaw
20186, 0.0023852409794926643, -0.0008342554792761803, 0.023440435528755188, 0.004543858580291271, 0.0038244922179728746, 0.0032999012619256973, 130426.4375, 156294.421875, 91669.359375, 119436.09375, 141671.09375, 102628.765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013239583931863308, 174.0, -1.0386192798614502, 0.015677163377404213, -0.5119032859802246, 0.00039804403246148387
20206, 0.002885491121560335, -0.0011334102600812912, 0.024106672033667564, 0.0070929136127233505, 0.0024458011612296104, 0.006702758371829987, 130437.0234375, 156294.421875, 91671.6796875, 119427.1640625, 141672.59375, 102634.953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01217740960419178, 180.0, -1.0386377573013306, 0.0155482217669487, -0.5121005177497864, -0.003311214876921548
20226, 0.0023204218596220016, -0.0008968188194558024, 0.024241771548986435, 0.004015117883682251, 0.0036767302080988884, 0.006853742990642786, 130438.265625, 156294.421875, 91669.359375, 119438.9453125, 141665.765625, 102630.265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014789571985602379, 180.0, -1.0386054515838623, 0.015662359073758125, -0.5119410157203674, 0.002263948468585437
20246, 0.0026151714846491814, -0.0008719449397176504, 0.02423136495053768, 0.005364011041820049, 0.0036601333413273096, 0.005984213203191757, 130432.5390625, 156296.34375, 91670.515625, 119433.9140625, 141672.09375, 102628.765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015049407258629799, 180.0, -1.038521409034729, 0.015588212758302689, -0.511944055557251, 0.00044869888577299475
20266, 0.0029229905921965837, -0.0011178908171132207, 0.024347659200429916, 0.006756772752851248, 0.0024110199883580208, 0.005980211775749922, 130437.0234375, 156296.34375, 91676.40625, 119440.46875, 141671.09375, 102628.1953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012657590210437775, 174.0, -1.0386128425598145, 0.01579444669187069, -0.5118818283081055, -0.002104348775395778
20286, 0.0023680292069911957, -0.0011253699194639921, 0.024470964446663857, 0.004068357869982719, 0.0020981894340366125, 0.006070591975003481, 130438.640625, 156294.421875, 91667.3984375, 119439.8046875, 141676.140625, 102630.828125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011567749083042145, 174.0, -1.0386090278625488, 0.015559948980808258, -0.5120513439178467, -0.003566197469080618
20306, 0.0026103402487933636, -0.000881980755366385, 0.02397763542830944, 0.005344799719750881, 0.003578108735382557, 0.002949568210169673, 130433.1640625, 156294.421875, 91675.2421875, 119436.09375, 141667.546875, 102631.578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01125375647097826, 174.0, -1.0385854244232178, 0.015584174543619156, -0.5119733214378357, 0.000685980755088233
20326, 0.0028218436054885387, -0.0008881603134796023, 0.02403443120419979, 0.0065328520722687244, 0.003315760288387537, 0.0027650019619613886, 130427.6796875, 156292.5, 91675.2421875, 119436.7578125, 141674.359375, 102635.703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013558411970734596, 178.0, -1.0386097431182861, 0.015581800602376461, -0.512029767036438, -0.003078524377076832
20346, 0.0026224134489893913, -0.0008567762561142445, 0.024482866749167442, 0.005558442790061235, 0.003488989779725671, 0.004746021702885628, 130429.296875, 156294.421875, 91664.6328125, 119439.8046875, 141670.3125, 102629.515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013646604493260384, 178.0, -1.0386780500411987, 0.015386239625513554, -0.5120853185653687, 0.0008074945024347717
20366, 0.0025970214046537876, -0.0011042027035728097, 0.024579212069511414, 0.005525780376046896, 0.0022224574349820614, 0.004749911371618509, 130439.265625, 156294.421875, 91676.40625, 119437.6171875, 141666.265625, 102634.953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014641284942626953, 178.0, -1.0386346578598022, 0.01563287526369095, -0.5119108557701111, 0.0020368757189118095
20386, 0.0027323253452777863, -0.0010525532998144627, 0.02401786297559738, 0.006267859600484371, 0.002592703327536583, 0.0009675190667621791, 130433.1640625, 156296.34375, 91673.28125, 119436.7578125, 141675.140625, 102631.015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014779866673052311, 173.0, -1.038659691810608, 0.015676643699407578, -0.512043833732605, 0.00047015447507744047
20406, 0.0024473504163324833, -0.000824032467789948, 0.02404159866273403, 0.004479613155126572, 0.0035292275715619326, 0.0012278360081836581, 130435.40625, 156296.34375, 91671.3203125, 119438.28125, 141676.640625, 102637.765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01216101460158825, 173.0, -1.0385594367980957, 0.015649158507585526, -0.5119141936302185, -0.0008813976253344945
